
rock,rock,Tie
rock,rock,Tie
rock,rock,Tie
rock,scissors,Win
scis,scis,Tie
rock,paper,Lose
paper,paper,Tie
paper,scis,Lose
paper,rock,Win
paper,paper,Tie
rock,paper,Lose
scis,paper,Win
scis,rock,Lose
scis,paper,Win
scis,scis,Tie
paper,scis,Lose
paper,paper,Tie
paper,scis,Lose
paper,scis,Lose
rock,rock,Tie
rock,paper,Lose
rock,scis,Win
rock,rock,Tie
rock,rock,Tie
rock,paper,Lose
scis,rock,Lose
paper,paper,Tie
paper,scis,Lose
paper,paper,Tie
rock,rock,Tie
rock,paper,Lose
rock,paper,Lose
scis,rock,Lose
rock,paper,Lose
paper,scis,Lose
paper,rock,Win
paper,paper,Tie
paper,rock,Win
rock,paper,Lose
rock,rock,Tie
scis,paper,Win
rock,scis,Win
paper,rock,Win
paper,rock,Win
paper,paper,Tie
paper,scis,Lose
rock,rock,Tie
rock,scis,Win
rock,paper,Lose
scis,paper,Win
paper,scis,Lose
paper,paper,Tie
rock,paper,Lose
scis,scis,Tie
scis,paper,Win
scis,scis,Tie
scis,paper,Win
scis,paper,Win
scis,rock,Lose
rock,scis,Win
rock,paper,Lose
paper,scis,Lose
rock,paper,Lose
scis,paper,Win
